Projectnaam;BVO_totaal;BVO_wonen;Aantal_woningen;Gevel_totaal;Gevel_open;Omtrek_totaal;BVO_ontsluiting;Aantal_trappenhuizen;Aantal_bouwlagen;Aantal_balkons;BVO_commercieel;Gevel_geluidsbelasting;BVO_overig;Oppervlakte_balkons;Heipaallengte;Type_ontsluiting;Aantal_logias;Oppervlakte_logias;Constructie_principe;BGO-BVO-ratio;BGO open-BGO_totaal-ratio;BVO_wonen-Aantal_woningen-ratio;BVO_totaal-aantal_bouwlagen-ratio;BVO_ontsluiting-aantal_bouwlagen-ratio;BVO_ontsluiting-aantal_woningen-ratio;Aantal_woningen-aantal_bouwlagen-ratio;00_Bouwplaastvoorzieningen_plus_index;10_Bodemvoorzieningen_plus_index;15_Heiwerk_plus_index;20_Fundering_plus_index;30_Ruwbouw_plus_index;40_Gevelsluiting_plus_index;50_Afbouw_plus_index;55_Vaste_inrichting_plus_index;60_Ontsluiting_plus_index;70_Horizontale_afwerking_plus_index;75_Balkons;80_Diversen_plus_index;90_Installaties_plus_index;Directe_bouwkosten_plus_index
Rutger Zoetermeer, gebouw G1;13656,1;11760,1;194;8254,7971;4078,0773;2697,646111;1626;2;22;189,9327778;0;1;270;1512,93;20;3;0;0;1;0,604476908;0,494025141;60,61907216;620,7318182;73,90909091;8,381443299;8,818181818;99470;19155;273143;326359;2880278;3888099;2652575;693551;527004;119164;1476381;282672;5513147;18751000
M+N gebouw, The Frame Building;16961,4;12467,8;237;8303,5088;2725,85;2708,784759;2773,9;3;18;135;330;1;1388,61;791,1710526;20;3;0;0;1;0,489553268;0,328276885;52,60675105;942,3;154,1055556;11,70421941;13,16666667;0;102920;406053;405713;3268564;3354624;3534425;124073;806934;504435;619380;0;5642288;18769408
Lieven blok 8;17640,1;10790,3;425;8435,78;4360,992;2636,18125;2605;8;11;202;213;0;650;1033,78;20;3;9;74,7;1;0,47821611;0,516963695;25,38894118;1603,645455;236,8181818;6,129411765;38,63636364;120679;90907;121828;355250;3244801;5710519;3473732;587180;1188823;287315;1260906;281584;8427363;25252309
Leidsche Rijn Centrum, Blok E4.1;2926,63;2593,59;37;2126,3636;1037,142025;708,7878667;333,04;2;6;37;0;0;0;348,64;14;4;0;0;1;0,72655703;0,487753846;70,09702703;487,7716667;55,50666667;9,001081081;6,166666667;13549;13474;110419;98817;495294;1269967;472757;185627;345654;182516;264716;0;912967;4352209
Cartesius Blok 5, blok C;4338,6;3496,8;63;3464,076;1393,7805;1385,16;841,8;2;6;63;0;1;0;610;20;4;0;0;1;0,798431752;0,402352749;55,5047619;723,1;140,3;13,36190476;10,5;11567;21155;81831;161607;840821;1605074;300218;271681;317538;160234;297503;0;1170000;5239227
Stanislas Locatie Blauwhoed, vrij;6562;5009;66;3793;1707;1652;1553;4;5;72;0;0;0;1072;20;4;0;0;6;0,578024992;0,450039547;75,89393939;1312,4;310,6;23,53030303;13,2;0;0;70672;134787;913017;1210215;991504;8584;344070;286810;812260;13242;2119729;6904891
Kavel 3, blok 16;9956,1;8029,3;124;6545,6;3602,59;2199,717544;716,9;2;15;168;360,3;1;849,6;1530,3;22;4;0;0;1;0,657446189;0,550383464;64,75241935;663,74;47,79333333;5,781451613;8,266666667;0;94648;424188;262701;2359162;3578275;1395633;90961;694848;141469;1397540;0;3260413;13699837
Herontwikkeling V&D, Huur;12540,17;6467,3;70;7797,202432;3368,019434;2629,77;1397,71;5;10;66;4675,16;0;0;330;20;4;0;0;1;0,621778049;0,431952288;92,39;1254,017;139,771;19,96728571;7;110180;45465;424598;394802;2056292;3490490;2799382;0;643706;378243;321639;172325;3701047;14626608
Kruisweg Nieuweweg Hoofddorp;16568,5;11401,3;167;9730,565;7408,184;2660,9;1961,5;3;15;0;1224,8;0;1980,9;0;12;4;101;747,4;1;0,587293056;0,761331331;68,27125749;1104,566667;130,7666667;11,74550898;11,13333333;63871;52299;519668;528838;3034496;8676133;2571764;768371;992732;584843;0;1757641;4377869;23958546
Cluster 7;20476;17190;245;15506,93;6181,5;5483,066667;2825;4;17;96;0;1;461;735,16;17;4;104;234;1;0,757322231;0,398628226;70,16326531;1204,470588;166,1764706;11,53061224;14,41176471;84318;121659;236951;340719;4459261;6682008;4195444;875446;932763;669874;1800451;365056;5587092;26351043
Cartesius, blok 0 Optopping;21933,0024;16711,3224;228;8918,928;3507,696;3421,44;3856,28;4;7;168;0;1;1365,4;504;15;4;0;0;1;0,40664419;0,393286727;73,29527368;3133,286057;550,8971429;16,91350877;32,57142857;146572;168736;1974234;481761;5175441;4208938;3368054;1219083;1722259;2616357;493362;406304;6992688;28977299
Merwede Zone Utrecht, blok B1;24601,72;19233,98;333;13438,893;5245,0916;4541,52;5367,74;8;54;268;0;0;0;982,3;20;4;0;0;1;0,54625827;0,390291938;57,7596997;455,5874074;99,40259259;16,11933934;6,166666667;0;76754;715997;735271;5728656;6223525;4295055;1004070;1958272;754399;845755;69271;8608888;31015913
Staalweg Delft;44192;32707;435;24141;11846;7787;9925;10;20;99;5225;1;0;475;24;4;0;0;2;0,546275344;0,490700468;75,18850575;2209,6;496,25;22,81609195;21,75;0;64513;1148201;1351557;9968423;14511749;9826334;0;747785;2066850;387395;3268844;12104606;54008954
Kavel 3, blok 10;551;399,8;8;871;247;269,9263767;29,6;1;5;8;121,6;0;0;28,8;22;2;0;0;1;1,58076225;0,28358209;49,975;110,2;5,92;3,7;1,6;0;5546;26784;57354;124027;445438;80380;45512;122743;38465;36785;0;215332;1215605
Kavel 3, blok 11;1286,5;1093;15;1827;495,1;545,6956522;37,7;1;6;20;125,2;0;30,6;165;22;2;0;0;1;1,420132141;0,270990695;72,86666667;214,4166667;6,283333333;2,513333333;2,5;0;10612;62537;53980;335536;754877;245189;90009;160735;69013;136481;0;371104;2312267
Kavel 3, blok 12;1776,5;1721,6;28;1963;725,4;610,7391304;54,9;2;9;36;0;0;0;227;22;2;0;0;1;1,104981706;0,369536424;61,48571429;197,3888889;6,1;1,960714286;3,111111111;0;14596;86355;58477;412612;908302;428477;144022;128956;54915;355862;0;601975;3240011
Kavel 3, blok 14;1098;954;17;1388,7;389,1;422,26;11;1;6;6;133;0;0;36,81;22;2;0;0;1;1,264754098;0,280190106;56,11764706;183;1,833333333;0,647058824;2,833333333;0;8391;53374;39175;274325;713800;251354;79811;85017;58349;43534;0;524013;2149519
Kavel 3, blok 15;3115;2690;39;2128;922;629,6;366;1;8;56;0;1;59;212,6;22;3;0;0;1;0,683146067;0,433270677;68,97435897;389,375;45,75;9,384615385;4,875;0;21087;196599;78540;668765;1243471;693443;201050;182567;70573;248054;0;1091068;4819270
Cruquiusweg Amsterdam;17492;13929,55;150;9147,513;3253,46;2958,022636;1867,15;4;7;140;1387,3;1;308;1247;22;3;6;48;1;0,522954093;0,35566607;92,86366667;2498,857143;266,7357143;12,44766667;21,42857143;0;17381;228093;517304;2156258;3473546;2099615;23311;647544;436052;656728;0;3862775;14248586
Herontwikkeling Rohde;14758,54;10918,29;112;8165,963;2831,0802;3036,27;1900,1;5;19;109;133,47;1;1806,68;662,33;17;3;0;0;6;0,553304256;0,346692754;97,48473214;776,7652632;100,0052632;16,96517857;5,894736842;0;61351;89105;398077;2289071;2489031;2153468;2432;486380;271258;452674;245495;2500923;11439265
Leidsche Rijn Centrum Blok, E4.3;7246;6142,69;68;5125,2275;1439,66;1708,409167;1103,31;2;14;136;0;0;0;506,59;14;3;0;0;1;0,707318176;0,280896799;90,33367647;517,5714286;78,80785714;16,22514706;4,857142857;33545;33360;273385;244658;1389847;2711710;1002637;325277;565232;70778;489209;0;1834955;8974593
Klooster Vlietdijk, blok A;3832;3412;40;2277,6;859,2;759,2;420;1;8;0;0;1;0;0;20;1;0;0;1;0,594363257;0,377239199;85,3;479;52,5;10,5;5;0;0;80140;97612;589563;721697;696488;11019;198319;43916;0;0;1166993;3605748
